,Song,Artist,Weeks On #1,Weeks On Chart,Peak Rank
0,Blank Space,Taylor Swift,7,36,1
1,Take Me To Church,Hozier,0,41,2
2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,14,56,1
3,Thinking Out Loud,Ed Sheeran,0,58,2
4,Lips Are Movin,Meghan Trainor,0,29,4
5,I'm Not The Only One,Sam Smith,0,37,5
6,Love Me Harder,Ariana Grande & The Weeknd,0,22,7
7,Jealous,Nick Jonas,0,32,7
8,Animals,Maroon 5,0,33,8
9,All About That Bass,Meghan Trainor,0,47,5
10,Shake It Off,Taylor Swift,0,50,5
11,I Don't F**k With You,Big Sean Featuring E-40,0,29,12
12,The Heart Wants What It Wants,Selena Gomez,0,20,13
13,Wasted Love,Matt McAndrew,0,0,14
14,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",0,25,15
15,Habits (Stay High),Tove Lo,0,39,16
16,Tuesday,I LOVE MAKONNEN Featuring Drake,0,22,17
17,Waves,Mr. Probz,0,25,18
18,Don't,Ed Sheeran,0,36,13
19,Centuries,Fall Out Boy,0,34,10
20,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,0,17,13
21,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",0,31,15
22,No Type,Rae Sremmurd,0,26,18
23,7/11,Beyonce,0,20,18
24,Hot Boy,Bobby Shmurda,0,25,23
25,Blame,Calvin Harris Featuring John Newman,0,20,26
26,Stay With Me,Sam Smith,0,54,11
27,CoCo,O.T. Genasis,0,20,20
28,Beg For It,Iggy Azalea Featuring M0,0,16,27
29,Don't Tell 'Em,Jeremih Featuring YG,0,31,28
30,I Don't Mind,Usher Featuring Juicy J,0,23,11
31,Riptide,Vance Joy,0,44,30
32,Black Widow,Iggy Azalea Featuring Rita Ora,0,30,29
33,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,0,0,34
34,All I Want For Christmas Is You,Mariah Carey,0,30,3
35,Heroes (We Could Be),Alesso Featuring Tove Lo,0,20,31
36,Trumpets,Jason Derulo,0,32,30
37,Shotgun Rider,Tim McGraw,0,20,38
38,Stolen Dance,Milky Chance,0,25,39
39,Chandelier,Sia,0,46,20
40,Something In The Water,Carrie Underwood,0,20,37
41,Santa Tell Me,Ariana Grande,0,5,42
42,Feeling Myself,Nicki Minaj Featuring Beyonce,0,20,39
